time,seconds_elapsed,z,y,x,,z,y,x,,,t,z,y,x
1.68301E+18,3.421399658,-0.950100005,-1.359799981,1.040899992,,1.459999919,-0.0229,9.697299957,,,170,0.509899914,-1.382699981,10.73819995
1.68301E+18,3.441399658,-0.44659999,-1.505399942,0.108799994,,1.456699967,0.034399997,9.697699547,,,171,1.010099977,-1.470999945,9.806499541
1.68301E+18,3.461401367,0.081199996,-1.497200012,0.0112,,1.458400011,0.075199999,9.697299957,,,172,1.539600007,-1.422000013,9.708499957
1.68301E+18,3.481399658,0.423999995,-1.10710001,-0.4102,,1.458699942,0.087200001,9.697099686,,,173,1.882699937,-1.019900009,9.286899686
1.68301E+18,3.501399658,0.32099998,-0.873899996,-0.245699987,,1.444100022,0.079499997,9.699399948,,,174,1.765100002,-0.794399999,9.453699961
1.68301E+18,3.521401367,0.261299998,-0.438999981,-0.161899999,,1.415499926,0.056499999,9.703700066,,,175,1.676799923,-0.382499982,9.541800067
1.68301E+18,3.541399658,0.14199999,-0.0117,-0.115599997,,1.397599936,0.021499999,9.706500053,,,176,1.539599925,0.009799999,9.590900056
1.68301E+18,3.561399658,-0.291399986,0.233099997,-0.195199996,,1.389699936,-0.0076,9.70759964,,,177,1.09829995,0.225499997,9.512399644
1.68301E+18,3.581399658,-0.677899957,0.263099998,-0.675099969,,1.39380002,-0.017899999,9.706999779,,,178,0.715900064,0.245199999,9.03189981
1.68301E+18,3.601399658,-0.6972,0.0309,-1.11500001,,1.403299928,-0.011299999,9.705699921,,,179,0.706099927,0.0196,8.590699911
1.68301E+18,3.621399658,-0.444099993,-0.182099998,-1.584100008,,1.414899945,0.0056,9.703999519,,,180,0.970799953,-0.176499998,8.119899511
1.68301E+18,3.641399658,-0.171199992,-0.454400003,-1.729499936,,1.426499963,0.0229,9.702300072,,,181,1.255299971,-0.431500003,7.972800136
1.68301E+18,3.661401367,-0.108899996,-0.500499964,-1.738299966,,1.432799935,0.0298,9.701299667,,,182,1.32389994,-0.470699964,7.962999701
