time,seconds_elapsed,z,y,x,,z,y,x,,t,z,y,x
1.68301E+18,2.781399658,0.954299986,-1.45509994,4.67539978,,0.849999964,-0.015799999,9.76970005,,138,1.804299951,-1.47089994,14.44509983
1.68301E+18,2.801399658,0.429099977,-1.033900023,4.044199944,,0.806400001,-0.034899998,9.773300171,,139,1.235499978,-1.068800021,13.81750011
1.68301E+18,2.821399658,-0.0095,-0.707699955,2.208499908,,0.784199953,-0.037499998,9.775099754,,140,0.774699953,-0.745199952,11.98359966
1.68301E+18,2.841399658,0.051099997,-0.80369997,0.609799981,,0.782399952,-0.010199999,9.775300026,,141,0.833499949,-0.81389997,10.38510001
1.68301E+18,2.861399658,0.58739996,-0.980399966,-0.193199992,,0.795300007,0.029199999,9.774299622,,142,1.382699966,-0.951199967,9.581099629
1.68301E+18,2.881399658,0.957499981,-0.833599985,-0.221499994,,0.807599962,0.048999999,9.773200035,,143,1.765099943,-0.784599986,9.551700041
1.68301E+18,2.901399658,0.878799975,-0.294499993,-0.172499999,,0.807799995,0.0297,9.773200035,,144,1.68659997,-0.264799993,9.600700036
1.68301E+18,2.921399658,0.391099989,0.228199989,-0.41869998,,0.795399964,-0.012399999,9.774299622,,145,1.186499953,0.215799989,9.355599642
1.68301E+18,2.941399658,-0.024,0.519699991,-0.714100003,,0.779100001,-0.048899997,9.775499344,,146,0.755100001,0.470799994,9.061399341
1.68301E+18,2.961399658,-0.301200002,0.580799997,-0.823199987,,0.762099981,-0.070799999,9.77670002,,147,0.460899979,0.509999998,8.953500032
1.68301E+18,2.981399658,-0.348999977,0.624599993,-0.912199974,,0.751100004,-0.085199997,9.777400017,,148,0.402100027,0.539399996,8.865200043
1.68301E+18,3.001399658,-0.104199998,0.553799987,-0.736299992,,0.741699994,-0.092900001,9.778100014,,149,0.637499996,0.460899986,9.041800022
1.68301E+18,3.021399658,0.262699991,0.603299975,-0.884499967,,0.727599978,-0.0933,9.779099464,,150,0.99029997,0.509999976,8.894599497
1.68301E+18,3.041402832,0.488799989,0.674199998,-0.984099984,,0.707499981,-0.0858,9.78069973,,151,1.19629997,0.588399999,8.796599746
1.68301E+18,3.061399658,0.553200006,0.551699996,-0.985300004,,0.692099988,-0.071099997,9.781899452,,152,1.245299995,0.480599999,8.796599448
1.68301E+18,3.081399658,0.521299958,0.488799989,-0.956599951,,0.684799969,-0.047499999,9.782499313,,153,1.206099927,0.44129999,8.825899363
1.68301E+18,3.101399658,0.243299991,0.539299965,-0.868799984,,0.67839998,-0.0195,9.783100128,,154,0.921699971,0.519799965,8.914300144
1.68301E+18,3.121399658,-0.094799995,0.452099979,-0.761299968,,0.673399985,0.0087,9.783399582,,155,0.578599989,0.460799979,9.022099614
1.68301E+18,3.141399658,-0.248799995,0.282900006,-0.801299989,,0.660600007,0.050499998,9.784199715,,156,0.411800012,0.333400004,8.982899725
1.68301E+18,3.161399658,0.135399997,0.058599997,-0.72329998,,0.649100006,0.098200001,9.784599304,,157,0.784500003,0.156799998,9.061299324
1.68301E+18,3.181399658,0.568499982,-0.142399997,-0.722799957,,0.647399962,0.142399997,9.784199715,,158,1.215899944,0,9.061399758
1.68301E+18,3.201399658,0.944099963,-0.294999987,-0.72179997,,0.654299974,0.177299991,9.783100128,,159,1.598399937,-0.117699996,9.061300159
1.68301E+18,3.221402832,1.208400011,-0.2368,-0.789999962,,0.654799998,0.197599992,9.782699585,,160,1.863200009,-0.039200008,8.992699623
1.68301E+18,3.241402832,1.276600003,0.035099998,-0.574800014,,0.645399988,0.200199991,9.783299446,,161,1.921999991,0.23529999,9.208499432
1.68301E+18,3.261401123,0.853199959,0.165399998,-0.252000004,,0.637299955,0.1875,9.784099579,,162,1.490499914,0.352899998,9.532099575
1.68301E+18,3.281399658,0.515599966,0.201700002,-0.42839998,,0.641499996,0.180699989,9.783899307,,163,1.157099962,0.382399991,9.355499327
1.68301E+18,3.301399658,0.294799984,0.105399996,-0.769800007,,0.666199982,0.188699991,9.782099724,,164,0.960999966,0.294099987,9.012299716
1.68301E+18,3.321399658,0.1193,0.0722,-1.345499992,,0.704400003,0.202199996,9.7791996,,165,0.823700003,0.274399996,8.433699608
1.68301E+18,3.341399658,0.0425,0.027799999,-1.645599961,,0.751800001,0.217299998,9.775300026,,166,0.794300001,0.245099997,8.129700065
1.68301E+18,3.361399658,-0.016999999,-0.1752,-1.093699932,,0.781899989,0.233999997,9.772600174,,167,0.76489999,0.058799997,8.678900242
1.68301E+18,3.381399658,-0.0039,-0.346799999,-0.66049999,,0.798199952,0.248799995,9.770899773,,168,0.794299952,-0.098000005,9.110399783
1.68301E+18,3.401401123,0.131200001,-0.501100004,0.438899994,,0.810099959,0.255899996,9.76970005,,169,0.94129996,-0.245200008,10.20860004
1.68301E+18,3.421399658,0.413100004,-0.647199988,2.027499914,,0.812599957,0.245099992,9.769800186,,170,1.225699961,-0.402099997,11.7973001
1.68301E+18,3.441399658,0.456599981,-0.601899981,3.379099846,,0.798500001,0.21949999,9.77159977,,171,1.255099982,-0.382399991,13.15069962
1.68301E+18,3.461399658,0.051899999,-0.115399994,3.032899857,,0.771799982,0.184100002,9.774399757,,172,0.823699981,0.068700008,12.80729961
1.68301E+18,3.481399658,-0.552699983,0.0296,1.198499918,,0.768399954,0.166500002,9.774999619,,173,0.215699971,0.196100002,10.97349954
1.68301E+18,3.501399658,-0.385499984,-0.480999976,0.514699996,,0.797399998,0.186799988,9.772299767,,174,0.411900014,-0.294199988,10.28699976
1.68301E+18,3.521399658,0.32189998,-0.789900005,1.986699939,,0.805799961,0.201499999,9.771399498,,175,1.127699941,-0.588400006,11.75809944
1.68301E+18,3.541401123,0.308599979,-0.459399998,4.198699951,,0.760199964,0.165199995,9.775699615,,176,1.068799943,-0.294200003,13.97439957
1.68301E+18,3.561399658,-0.263999999,0.045599997,5.367799759,,0.666099966,0.101399995,9.783399582,,177,0.402099967,0.146999992,15.15119934
1.68301E+18,3.581399658,-0.709899962,0.485299975,3.930999994,,0.592199981,0.073600002,9.788399696,,178,-0.117699981,0.558899976,13.71939969
1.68301E+18,3.601399658,-0.365699977,0.252799988,1.666000009,,0.591300011,0.119799994,9.788000107,,179,0.225600034,0.372599982,11.45400012
1.68301E+18,3.621401123,0.35799998,-0.27759999,0.308099985,,0.65200001,0.199099988,9.782899857,,180,1.00999999,-0.078500003,10.09099984
1.68301E+18,3.641399658,0.747999966,-0.676599979,-0.381300002,,0.722899973,0.274499983,9.776100159,,181,1.47089994,-0.402099997,9.394800156
1.68301E+18,3.661399658,0.428299993,-0.655699968,-1.003999949,,0.768000007,0.322299987,9.77120018,,182,1.1963,-0.333399981,8.767200232
1.68301E+18,3.681399658,-0.208799988,-0.404199988,-1.121299982,,0.767799973,0.335599989,9.770699501,,183,0.558999985,-0.068599999,8.649399519
1.68301E+18,3.701401123,-0.424999982,-0.068499997,-1.114099979,,0.738799989,0.323399991,9.773399353,,184,0.313800007,0.254899994,8.659299374
